,New York,Los Angeles,Tucson,Chicago,Dallas,Mexico City,Toronto,Seattle,Paris,London,Rome,Berlin,Oslo,Moscow,Reykjavik,New Delhi,Beijing,Jakarta,Tokyo,Sydney,Auckland,Rio de Janeiro,Sao Paulo,Bogota,Peru,Buenos Aires,Cape Town,Nairobi,Cairo,Dakar,Lisbon,Madrid
New York,0,2445,2120,710,1370,2090,340,2400,3630,3460,4280,3967,3674,4666,2611,7303,6826,10050,6740,9935,8819,4820,4775,2494,3651,5300,7807,7358,5606,3820,3369,3584
Los Angeles,,0,439,1742,1237,1547,2171,960,5645,5440,6331,5784,5327,6070,4307,7989,6251,8977,5475,7502,6522,6302,6155,3482,4179,6122,9973,9658,7581,6250,5668,5817
Tucson,,,0,1443,826,1148,1878,1218,5497,5300,6183,5692,5265,6081,4208,8197,6603,9411,5884,7816,6759,5873,5730,3052,3793,5741,9534,9443,7473,5882,5429,5604
Chicago,,,,0,804,1691,435,1732,4132,3947,4809,4401,4038,4970,2953,7469,6586,9814,6297,9243,8196,5300,5224,2707,3787,5600,8492,8004,6126,4531,3991,4178
Dallas,,,,,0,933,1203,1679,4929,4748,5603,5206,4838,5756,3754,8175,6983,10052,6458,8586,7451,5223,5105,2436,3361,5280,8762,8726,6924,5063,4737,4943
Mexico City,,,,,,0,2026,2341,5714,5548,6363,6044,5713,6660,4629,9106,7740,10466,7022,8061,6807,4773,4617,1974,2644,4593,8512,9206,7685,5355,5388,5631
Toronto,,,,,,,0,2066,3728,3549,4400,4024,3688,4650,2606,7227,6578,9820,6429,9673,8629,5139,5086,2717,3852,5566,8140,7570,5722,4125,3558,3750
Seattle,,,,,,,,0,4996,4784,5665,5044,4553,5201,3613,7030,5398,8373,4780,7749,7004,6896,6783,4114,4972,6917,10206,9001,6826,6140,5199,5288
Paris,,,,,,,,,0,212,687,545,833,1544,1387,4092,5103,7196,6036,10538,11523,5696,5842,5362,6372,6866,5804,4028,1994,2613,903,654
London,,,,,,,,,,0,891,579,716,1553,1174,4169,5056,7278,5941,10559,11394,5764,5901,5281,6319,6914,6008,4237,2181,2717,985,784
Rome,,,,,,,,,,,0,735,1247,1476,2052,3676,5047,6725,6125,10141,11430,5714,5888,5829,6748,6928,5251,3348,1324,2590,1157,847
Berlin,,,,,,,,,,,,0,520,999,1483,3591,4569,6700,5541,10000,11027,6219,6371,5860,6896,7400,5980,3958,1796,3111,1437,1167
Oslo,,,,,,,,,,,,,0,1021,1085,3719,4363,6798,5224,9911,10693,6474,6606,5763,6861,7610,6498,4450,2272,3432,1702,1483
Moscow,,,,,,,,,,,,,,0,2055,2697,3597,5783,4648,9007,10065,7172,7336,6778,7857,8373,6299,3941,1803,4046,2427,2137
Reykjavik,,,,,,,,,,,,,,,0,4716,4896,7711,5466,10324,1063,6122,6203,4848,5996,7106,7123,5297,3275,3423,1834,1796
New Delhi,,,,,,,,,,,,,,,,0,2346,3109,3629,6480,7759,8744,8966,9451,10421,9812,5782,3377,2752,6009,4831,4519
Beijing,,,,,,,,,,,,,,,,,0,3243,1304,5562,6469,10760,10933,9288,10344,11969,8050,5724,4686,7637,6005,5728
Jakarta,,,,,,,,,,,,,,,,,,0,3595,3417,4746,9583,9712,12312,11149,9458,5889,4835,5581,8613,7877,7571
Tokyo,,,,,,,,,,,,,,,,,,,0,4862,5492,11536,11515,8894,9623,11411,9157,6994,5945,8649,6926,6688
Sydney,,,,,,,,,,,,,,,,,,,,0,1339,8401,8299,8901,7953,7332,6842,7550,8957,10933,11294,10988
Auckland,,,,,,,,,,,,,,,,,,,,,0,7625,7468,7575,6690,6433,7314,8670,10295,10731,12188,12177
Rio de Janeiro,,,,,,,,,,,,,,,,,,,,,,0,224,2820,2346,1222,3765,5547,6141,3127,4793,5057
Sao Paulo,,,,,,,,,,,,,,,,,,,,,,,0,2683,2145,1040,3942,5768,6350,3297,4938,5210
Bogota,,,,,,,,,,,,,,,,,,,,,,,,0,1169,2895,6538,7664,6965,3909,4676,4983
Lima,,,,,,,,,,,,,,,,,,,,,,,,,0,1949,6062,7807,7718,4477,5596,5909
Buenos Aires,,,,,,,,,,,,,,,,,,,,,,,,,,0,4267,6462,7339,4338,5964,6241
Cape Town,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2549,4498,4104,5319,5326
Nairobi,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2195,3869,4014,3845
Cairo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3258,2358,2081
Dakar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1734,1960
Lisbon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,312
Madrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
