Author 1,Author 2,# Joint Publications,# Joint Citations,First Year,Last Year,Identifier,Author 1 X,Author 1 Y,Author 2 X,Author 2 Y,Author 1 Latitude,Author 1 Longitude,Author 2 Latitude,Author 2 Longitude
Barabasi Al,Ferdig Mt,1,7,2006,2006,Barabasi AlFerdig Mt,29.22,-94.74,108.11,-45.05,41.7002,-86.2379,41.7002,-86.2379
Barabasi Al,Wuchty S,2,110,2003,2006,Barabasi AlWuchty S,29.22,-94.74,130.47,-65.48,41.7002,-86.2379,42.0302,-87.6865
Ferdig Mt,Wuchty S,1,7,2006,2006,Ferdig MtWuchty S,108.11,-45.05,130.47,-65.48,41.7002,-86.2379,42.0302,-87.6865
Balazsi G,Barabasi Al,4,173,2003,2005,Balazsi GBarabasi Al,265.28,-79.06,29.22,-94.74,40.4752,-79.9528,41.7002,-86.2379
Balazsi G,Oltvai Zn,4,173,2003,2005,Balazsi GOltvai Zn,265.28,-79.06,183.41,-126.32,40.4752,-79.9528,41.7002,-86.2379
Barabasi Al,Oltvai Zn,17,2961,2000,2005,Barabasi AlOltvai Zn,29.22,-94.74,183.41,-126.32,41.7002,-86.2379,41.7002,-86.2379
Almaas E,Barabasi Al,2,135,2004,2005,Almaas EBarabasi Al,95.27,-146.81,29.22,-94.74,41.7002,-86.2379,41.7002,-86.2379
Almaas E,Macdonald Pj,1,14,2005,2005,Almaas EMacdonald Pj,95.27,-146.81,91.75,-116.03,41.7002,-86.2379,41.7002,-86.2379
Barabasi Al,Macdonald Pj,1,14,2005,2005,Barabasi AlMacdonald Pj,29.22,-94.74,91.75,-116.03,41.7002,-86.2379,41.7002,-86.2379
Barabasi Al,Oliveira Jg,2,20,2005,2005,Barabasi AlOliveira Jg,29.22,-94.74,-89.14,15,41.7002,-86.2379,41.7002,-86.2379
Barabasi Al,Vazquez A,2,49,2004,2005,Barabasi AlVazquez A,29.22,-94.74,-171.55,46.66,41.7002,-86.2379,41.7002,-86.2379
Oliveira Jg,Vazquez A,1,5,2005,2005,Oliveira JgVazquez A,-89.14,15,-171.55,46.66,41.7002,-86.2379,41.7002,-86.2379
Barabasi Al,Derenyi I,6,237,1998,2005,Barabasi AlDerenyi I,29.22,-94.74,91.88,-253.75,41.7002,-86.2379,41.7002,-86.2379
Barabasi Al,Makeev Ma,8,198,1997,2005,Barabasi AlMakeev Ma,29.22,-94.74,54.99,-222.72,41.7002,-86.2379,41.7002,-86.2379
Derenyi I,Makeev Ma,1,2,2005,2005,Derenyi IMakeev Ma,91.88,-253.75,54.99,-222.72,41.7002,-86.2379,41.7002,-86.2379
Barabasi Al,Eisler Z,1,10,2005,2005,Barabasi AlEisler Z,29.22,-94.74,-25.6,-136.82,41.7002,-86.2379,,
Barabasi Al,Kertesz J,4,82,1992,2005,Barabasi AlKertesz J,29.22,-94.74,-96.22,-130.32,41.7002,-86.2379,,
Barabasi Al,Yook Sh,4,287,2001,2005,Barabasi AlYook Sh,29.22,-94.74,52.52,-142.77,41.7002,-86.2379,41.7002,-86.2379
Eisler Z,Kertesz J,1,10,2005,2005,Eisler ZKertesz J,-25.6,-136.82,-96.22,-130.32,,,,
Eisler Z,Yook Sh,1,10,2005,2005,Eisler ZYook Sh,-25.6,-136.82,52.52,-142.77,,,41.7002,-86.2379
Kertesz J,Yook Sh,1,10,2005,2005,Kertesz JYook Sh,-96.22,-130.32,52.52,-142.77,,,41.7002,-86.2379
Barabasi Al,Dobrin R,2,85,2004,2004,Barabasi AlDobrin R,29.22,-94.74,49.73,-4.86,41.7002,-86.2379,41.7002,-86.2379
Barabasi Al,Eckmann Jp,1,44,2004,2004,Barabasi AlEckmann Jp,29.22,-94.74,27.26,-6.1,41.7002,-86.2379,,
Barabasi Al,Sergi D,1,44,2004,2004,Barabasi AlSergi D,29.22,-94.74,30.41,4.45,41.7002,-86.2379,41.8971,-87.6223
Dobrin R,Eckmann Jp,1,44,2004,2004,Dobrin REckmann Jp,49.73,-4.86,27.26,-6.1,41.7002,-86.2379,,
Dobrin R,Oltvai Zn,2,85,2004,2004,Dobrin ROltvai Zn,49.73,-4.86,183.41,-126.32,41.7002,-86.2379,41.7002,-86.2379
Dobrin R,Sergi D,1,44,2004,2004,Dobrin RSergi D,49.73,-4.86,30.41,4.45,41.7002,-86.2379,41.8971,-87.6223
Dobrin R,Vazquez A,1,44,2004,2004,Dobrin RVazquez A,49.73,-4.86,-171.55,46.66,41.7002,-86.2379,41.7002,-86.2379
Eckmann Jp,Oltvai Zn,1,44,2004,2004,Eckmann JpOltvai Zn,27.26,-6.1,183.41,-126.32,,,41.7002,-86.2379
Eckmann Jp,Sergi D,1,44,2004,2004,Eckmann JpSergi D,27.26,-6.1,30.41,4.45,,,41.8971,-87.6223
Eckmann Jp,Vazquez A,1,44,2004,2004,Eckmann JpVazquez A,27.26,-6.1,-171.55,46.66,,,41.7002,-86.2379
Oltvai Zn,Sergi D,1,44,2004,2004,Oltvai ZnSergi D,183.41,-126.32,30.41,4.45,41.7002,-86.2379,41.8971,-87.6223
Oltvai Zn,Vazquez A,1,44,2004,2004,Oltvai ZnVazquez A,183.41,-126.32,-171.55,46.66,41.7002,-86.2379,41.7002,-86.2379
Sergi D,Vazquez A,1,44,2004,2004,Sergi DVazquez A,30.41,4.45,-171.55,46.66,41.8971,-87.6223,41.7002,-86.2379
Barabasi Al,Farkas I,3,47,2002,2004,Barabasi AlFarkas I,29.22,-94.74,117.68,-241,41.7002,-86.2379,,
Barabasi Al,Palla G,1,0,2004,2004,Barabasi AlPalla G,29.22,-94.74,63.35,-254.09,41.7002,-86.2379,,
Barabasi Al,Vicsek T,20,1050,1990,2004,Barabasi AlVicsek T,29.22,-94.74,-4.72,-215.17,41.7002,-86.2379,41.7002,-86.2379
Derenyi I,Farkas I,2,19,2002,2004,Derenyi IFarkas I,91.88,-253.75,117.68,-241,41.7002,-86.2379,,
Derenyi I,Palla G,1,0,2004,2004,Derenyi IPalla G,91.88,-253.75,63.35,-254.09,41.7002,-86.2379,,
Derenyi I,Vicsek T,3,83,2001,2004,Derenyi IVicsek T,91.88,-253.75,-4.72,-215.17,41.7002,-86.2379,41.7002,-86.2379
Farkas I,Palla G,1,0,2004,2004,Farkas IPalla G,117.68,-241,63.35,-254.09,,,,
Farkas I,Vicsek T,3,47,2002,2004,Farkas IVicsek T,117.68,-241,-4.72,-215.17,,,41.7002,-86.2379
Palla G,Vicsek T,1,0,2004,2004,Palla GVicsek T,63.35,-254.09,-4.72,-215.17,,,41.7002,-86.2379
Barabasi Al,De Menezes Ma,3,59,2004,2004,Barabasi AlDe Menezes Ma,29.22,-94.74,94.6,31.53,41.7002,-86.2379,41.7002,-86.2379
Balensiefer S,Barabasi Al,1,3,2004,2004,Balensiefer SBarabasi Al,102.51,38.38,29.22,-94.74,,,41.7002,-86.2379
Balensiefer S,Brockman J,1,3,2004,2004,Balensiefer SBrockman J,102.51,38.38,105.67,28.52,,,,
Balensiefer S,De Menezes Ma,1,3,2004,2004,Balensiefer SDe Menezes Ma,102.51,38.38,94.6,31.53,,,41.7002,-86.2379
Barabasi Al,Brockman J,1,3,2004,2004,Barabasi AlBrockman J,29.22,-94.74,105.67,28.52,41.7002,-86.2379,,
Brockman J,De Menezes Ma,1,3,2004,2004,Brockman JDe Menezes Ma,105.67,28.52,94.6,31.53,,,41.7002,-86.2379
Oltvai Zn,Yook Sh,1,94,2004,2004,Oltvai ZnYook Sh,183.41,-126.32,52.52,-142.77,41.7002,-86.2379,41.7002,-86.2379
Barabasi Al,Beg Qk,1,41,2004,2004,Barabasi AlBeg Qk,29.22,-94.74,113.76,-52.67,41.7002,-86.2379,41.7002,-86.2379
Beg Qk,Dobrin R,1,41,2004,2004,Beg QkDobrin R,113.76,-52.67,49.73,-4.86,41.7002,-86.2379,41.7002,-86.2379
Beg Qk,Oltvai Zn,1,41,2004,2004,Beg QkOltvai Zn,113.76,-52.67,183.41,-126.32,41.7002,-86.2379,41.7002,-86.2379
Almaas E,Kovacs B,1,121,2004,2004,Almaas EKovacs B,95.27,-146.81,89.99,-160.88,41.7002,-86.2379,,
Almaas E,Oltvai Zn,1,121,2004,2004,Almaas EOltvai Zn,95.27,-146.81,183.41,-126.32,41.7002,-86.2379,41.7002,-86.2379
Almaas E,Vicsek T,1,121,2004,2004,Almaas EVicsek T,95.27,-146.81,-4.72,-215.17,41.7002,-86.2379,41.7002,-86.2379
Barabasi Al,Kovacs B,1,121,2004,2004,Barabasi AlKovacs B,29.22,-94.74,89.99,-160.88,41.7002,-86.2379,,
Kovacs B,Oltvai Zn,1,121,2004,2004,Kovacs BOltvai Zn,89.99,-160.88,183.41,-126.32,,,41.7002,-86.2379
Kovacs B,Vicsek T,1,121,2004,2004,Kovacs BVicsek T,89.99,-160.88,-4.72,-215.17,,,41.7002,-86.2379
Oltvai Zn,Vicsek T,3,168,2002,2004,Oltvai ZnVicsek T,183.41,-126.32,-4.72,-215.17,41.7002,-86.2379,41.7002,-86.2379
Barabasi Al,Dezso Z,2,75,2002,2003,Barabasi AlDezso Z,29.22,-94.74,127.54,-95.92,41.7002,-86.2379,41.7002,-86.2379
Dezso Z,Oltvai Zn,1,15,2003,2003,Dezso ZOltvai Zn,127.54,-95.92,183.41,-126.32,41.7002,-86.2379,41.7002,-86.2379
Oltvai Zn,Wuchty S,1,103,2003,2003,Oltvai ZnWuchty S,183.41,-126.32,130.47,-65.48,41.7002,-86.2379,42.0302,-87.6865
Anderson I,Baev Mv,1,122,2003,2003,Anderson IBaev Mv,289.41,-63.63,305.43,-168.19,,,,
Anderson I,Balazsi G,1,122,2003,2003,Anderson IBalazsi G,289.41,-63.63,265.28,-79.06,,,40.4752,-79.9528
Anderson I,Barabasi Al,1,122,2003,2003,Anderson IBarabasi Al,289.41,-63.63,29.22,-94.74,,,41.7002,-86.2379
Anderson I,Bhattacharya A,1,122,2003,2003,Anderson IBhattacharya A,289.41,-63.63,325.38,-104.38,,,,
Anderson I,Campbell Jw,1,122,2003,2003,Anderson ICampbell Jw,289.41,-63.63,289.37,-91.78,,,41.7002,-86.2379
Anderson I,Daugherty Md,1,122,2003,2003,Anderson IDaugherty Md,289.41,-63.63,269.22,-108.27,,,,
Anderson I,Dsouza M,1,122,2003,2003,Anderson IDsouza M,289.41,-63.63,346.19,-143,,,,
Anderson I,Fonstein My,1,122,2003,2003,Anderson IFonstein My,289.41,-63.63,313.69,-58.64,,,,
Anderson I,Gelfand Ms,1,122,2003,2003,Anderson IGelfand Ms,289.41,-63.63,299.15,-115.11,,,,
Anderson I,Gerdes Sy,1,122,2003,2003,Anderson IGerdes Sy,289.41,-63.63,336.02,-72.36,,,41.8971,-87.6223
Anderson I,Grechkin Y,1,122,2003,2003,Anderson IGrechkin Y,289.41,-63.63,328.12,-159.87,,,,
Anderson I,Kapatral V,1,122,2003,2003,Anderson IKapatral V,289.41,-63.63,352.12,-117.97,,,,
Anderson I,Kyrpides Nc,1,122,2003,2003,Anderson IKyrpides Nc,289.41,-63.63,312.27,-84.38,,,,
Anderson I,Mseeh F,1,122,2003,2003,Anderson IMseeh F,289.41,-63.63,349.15,-93.22,,,,
Anderson I,Oltvai Zn,1,122,2003,2003,Anderson IOltvai Zn,289.41,-63.63,183.41,-126.32,,,41.7002,-86.2379
Anderson I,Osterman Al,1,122,2003,2003,Anderson IOsterman Al,289.41,-63.63,305.04,-140.29,,,,
Anderson I,Overbeek R,1,122,2003,2003,Anderson IOverbeek R,289.41,-63.63,325.75,-128.61,,,,
