1: 8 9 10 11 12 13
2: 14 25 26 27 28 29
3: 17 23 30 38 46 47
4: 16 21 31 40 41 42
5: 19 24 32 34 39 44
6: 18 20 33 36 43 48
7: 15 22 35 37 45 49
8: 1 14 20 21 22 23 24
9: 1 19 27 30 37 41 48
10: 1 16 25 43 44 45 47
11: 1 18 29 32 35 38 42
12: 1 17 26 31 33 39 49
13: 1 15 28 34 36 40 46
14: 2 8 15 16 17 18 19
15: 7 13 14 30 39 42 43
16: 4 10 14 32 46 48 49
17: 3 12 14 35 36 41 44
18: 6 11 14 31 34 37 47
19: 5 9 14 33 38 40 45
20: 6 8 29 30 40 44 49
21: 4 8 25 36 37 38 39
22: 7 8 28 32 33 41 47
23: 3 8 26 34 42 45 48
24: 5 8 27 31 35 43 46
25: 2 10 21 30 33 34 35
26: 2 12 23 32 37 40 43
27: 2 9 24 36 42 47 49
28: 2 13 22 31 38 44 48
29: 2 11 20 39 41 45 46
30: 3 9 15 20 25 31 32
31: 4 12 18 24 28 30 45
32: 5 11 16 22 26 30 36
33: 6 12 19 22 25 42 46
34: 5 13 18 23 25 41 49
35: 7 11 17 24 25 40 48
36: 6 13 17 21 27 32 45
37: 7 9 18 21 26 44 46
38: 3 11 19 21 28 43 49
39: 5 12 15 21 29 47 48
40: 4 13 19 20 26 35 47
41: 4 9 17 22 29 34 43
42: 4 11 15 23 27 33 44
43: 6 10 15 24 26 38 41
44: 5 10 17 20 28 37 42
45: 7 10 19 23 29 31 36
46: 3 13 16 24 29 33 37
47: 3 10 18 22 27 39 40
48: 6 9 16 23 28 35 39
49: 7 12 16 20 27 34 38

