subd_id,subd_name,disc_id,x,y
1,Clinical Cancer Research,3,339.43698,146.67145
2,Circulation,3,366.45367,185.0398
3,Data Mining,7,130.03195,187.49751
4,Protein Science,2,316.6134,156.77612
5,Signal Processing,7,147.77652,200.77571
6,Neuroscience; Molecular & Cellular,8,380.51117,159.23383
7,Anesthetics & Analgesics,3,368.3706,172.75125
8,Urology,3,357.508,130.97015
9,Immunology,10,333.22684,144.48756
10,Macromolecules & Polymers,5,239.9361,215.7612
11,Affective Disorders,8,422.68372,175.20895
12,Oncology,3,358.14697,142.02985
13,Surface Science,11,181.78914,240.3383
14,Nonlinear Analysis,11,133.86581,216.99005
15,Hospital Financial Management,12,395.84665,251.39801
16,Rheumatology,3,353.03516,164.14925
17,Occupational Health,12,335.78275,228.04974
18,Organic Chemistry,5,250.79872,241.56717
19,Leukemia,3,343.85977,150.08516
20,Virology,10,328.11502,126.054726
21,Plant Physiology,1,291.05432,99.0199
22,Allergy & Clinical Immunology,3,353.03516,151.8607
23,Material Science,4,188.89165,230.8456
24,Dermatology,3,353.03516,197.32835
25,Kidney,3,361.34186,162.9204
26,Pharmacology Science,3,363.2588,150.63184
27,Law,13,486.58148,108.850746
28,Medical Imaging,8,372.20447,153.08955
29,Bacteriology,10,311.5016,129.74129
30,Marine Biology,1,253.17288,51.15443
31,Developmental Biology,3,349.84024,150.63184
32,Digestion,3,355.79932,84.67076
33,Toxicology Applied Pharmacology,3,333.8658,155.54726
34,Transportation Research,4,195.84665,154.3184
35,Inorganic Chemistry,5,244.40895,241.56717
36,Chemical Engineering,4,206.07028,196.0995
37,Pharmaceutical Research,5,306.38977,230.50746
38,Semiconducting Materials,11,180.51118,234.19403
39,Diabetes Care,3,349.84024,210.84576
40,Clinical Neurophysiology,8,411.1821,160.46269
41,Ophthalmology,3,360.70288,193.64178
42,Nutrition,12,334.5048,186.26866
43,Finance,13,101.277954,144.48756
44,Neurosurgery,8,383.06708,154.3184
45,Fertility,3,342.8115,165.37811
46,Applied Optics,7,163.25879,232.96518
47,Nuclear Engineering,4,195.20767,183.81094
48,Molecular Cell Biology,10,326.1981,143.25871
49,Food Chemistry,5,304.47284,170.29353
50,Obstetrics,3,347.9233,172.75125
51,Chest & Respiratory,3,354.9521,159.23383
52,Earthquake Engineering,4,207.98721,180.12437
53,Zoology,1,270.60703,43.721394
54,Pharmaceutical Design,5,301.91693,203.47264
55,AntiMicrobial Agents,10,329.39297,144.48756
56,Systems Software,7,125.02245,177.90712
57,Decision Support Systems,13,100,161.69154
58,Business Ethics,13,491.92496,150.49611
59,Vascular Surgery,3,369.00958,151.8607
60,Pulp & Paper,4,199.73804,200.69295
61,Seismology,6,230.35144,47.40796
62,Bone Joint Surgery,12,377.95526,182.58209
63,Neurology,8,400.3195,159.23383
64,Algebra,11,135.78275,219.44775
65,Antenna,7,156.869,223.13432
66,Circuit Systems,7,150.2019,211.55807
67,Nursing Specialists,12,406.70926,246.48259
68,Retinal Surgery,12,367.73163,193.64178
69,Psychopharmacology,8,404.79233,160.46269
70,Aeronautics & Astronautics,4,178.59425,192.41293
71,Psychoanalysis,12,441.85303,180.12437
72,Oceanography,6,234.82428,65.8408
73,Sports Medicine,12,384.98404,196.0995
74,Operations Research,13,113.41853,175.20895
75,Chromatography; Electrophoresis,5,277.63577,220.67662
76,Pediatrics,3,350.47925,167.83582
77,Cardiovascular,3,360.70288,178.89552
78,Paleobiology,6,243.131,43.721394
79,Economics,13,498.08307,127.283585
80,Hypertension,12,364.53674,199.78607
81,Human Molecular Genetics,3,359.42493,137.11443
82,Clinical Endocrinology,3,345.3674,193.64178
83,Dietetics,3,347.28433,209.61691
84,Clinical Microbiology,10,320.4473,133.42786
85,Hospital Pharmacy,12,371.5655,228.04974
86,Gas Turbines,4,190.09584,185.0398
87,Remote Sensing,6,240.57507,47.40796
88,Computational Chemistry,5,213.73802,252.62686
89,Surgery,3,365.17572,143.25871
90,Ceramics,4,190.73482,228.04974
91,AIDS Research,3,334.5048,144.48756
92,Military Aviation,4,177.3163,166.60696
93,Medical Records,12,398.40256,255.08458
94,Statistics,13,105.111824,187.49751
95,Applied Economics,13,500,130.97015
96,Automatic Control,7,147.92332,193.64178
97,Atmospheric Science,6,238.01917,57.238808
98,Automotive Engineering,4,179.23323,181.35324
99,BioStatistics,13,498.08307,192.41293
100,Employee Health Benefit Plans,12,395.84665,257.5423
101,Transplantation,3,357.508,154.3184
102,Alloys,4,186.26198,230.50746
103,Astronomy & Astrophysics,11,170.92651,221.90547
104,Substance-abuse Treatment,12,425.8786,182.58209
105,Research Policy; Technology Management,13,494.88818,156.77612
106,Drug Discovery,12,365.8147,246.48259
107,Animal Science,10,297.4441,110.079605
108,Chaos Fractals & Complexity,11,158.14696,236.65175
109,Environmental Contamination,1,276.35782,75.67164
110,Otolaryngology; Laryngoscope,8,375.39935,165.37811
111,Mechanical Design Engineering,4,170.28754,191.18408
112,Classics,9,484.02557,38.80597
113,Biological Conservation,1,262.9393,58.467663
114,Thoracic Surgery,3,365.17572,161.69154
115,Phytochemistry,5,294.2492,221.90547
116,Tropical Medicine,10,319.16934,99.0199
117,Food Protection,2,306.38977,139.57214
118,Broadband Communication,7,142.17253,192.41293
119,Energy Fuel,4,204.79233,170.29353
120,Soil Quality,4,250.79872,83.04478
121,Integrated Circuit Design,7,144.72844,197.32835
122,Philosophy Psychology,9,492.32568,29.519371
123,Construction & Project Management,13,499.59268,155.01884
124,Social Psychology,13,461.66135,165.37811
125,High Energy Physics,11,172.84177,231.34332
126,Strategic Management,13,491.6933,154.3184
127,Genomics & Nucleic Acids,2,315.97443,108.850746
128,Heat Transfer,4,191.3738,197.32835
129,Cement & Concrete,4,207.34824,170.29353
130,Pathology,3,350.47925,143.25871
131,Pest Management Science,1,289.1374,70.75622
132,Corrosion,4,207.34824,245.25374
133,Veterinary Science,10,310.22363,114.995026
134,Teacher Education; Evaluation,13,476.35782,153.08955
135,Stem Cells,3,335.78275,170.29353
136,Image Processing,7,136.42172,199.78607
137,Neural Networks,7,133.22684,188.72636
138,Nursing Education,12,411.1821,245.25374
139,Intensive Care,3,365.8147,167.83582
140,Alternative Complementary Medicine,12,372.20447,189.95523
141,Petroleum Engineering,4,205.88202,136.76195
142,Music & Theatre,9,482.7476,13
143,Memory & Cognition,8,426.51758,162.9204
144,Vision,8,405.4313,177.66667
145,Communication Research,13,487.22046,145.71642
146,BioInformatics,2,305.11182,133.42786
147,Mechanics of Solids & Structures,4,183.0671,196.0995
148,Pharmacy,3,354.3131,198.55722
149,Geomorphology,6,234.82428,53.55224
150,Psychosis; Schizophrenia,8,416.2939,171.52238
151,BioEthics,12,392.0128,252.62686
152,Parallel Computing,7,138.97763,180.12437
153,Power Distribution,7,150.47923,203.47264
154,Gerontology,12,435.46326,188.72636
155,Wood,4,206.70926,197.32835
156,Discrete Applied Mathematics,11,130.03195,208.38806
157,Geology & Tectonics,6,227.53946,51.01821
158,GeoChemistry,6,228.43451,44.95025
159,Mobile Networks,7,136.42172,188.72636
160,Artificial Intelligence,7,130.67093,183.81094
161,Electro Analytical Chemistry,5,249.52077,241.56717
162,Dental Education,12,376.6773,232.96518
163,Enzyme Microbiological Techniques,2,295.52716,142.02985
164,Library Science; Information Retrieval,7,108.94569,167.83582
165,Biomaterials,12,370.28754,204.70149
166,Quaternary Research,6,232.90735,43.721394
167,Endoscopic Surgery,3,362.6198,113.76617
168,Composites,4,195.20767,201.01492
169,Language Learning,13,472.52396,112.537315
170,American History,9,485.30353,58.467663
171,Leadership & Organizational Behavior,13,492.97125,158.00497
172,Agricultural Engineering,4,252.71565,99.0199
173,Computer-Aided Process Planning,13,114.05751,172.75125
174,Geriatrics,8,420.1278,169.06468
175,Solid State Electronics,7,163.89777,223.13432
176,Optics & Lasers,11,174.98329,235.62636
177,Wool,4,210.86365,198.06557
178,Biomechanics,12,376.6773,189.95523
179,Molecular Physics,5,198.40256,251.39801
180,Comparative Animal Physiology,1,276.9968,57.238808
181,Political Science,13,485.30353,124.825874
182,Science History,9,487.85944,41.263683
183,Poetry,9,485.30353,36.34826
184,Nuclear Medicine,3,370.28754,128.51244
185,Nanotechnology,5,197.1246,237.8806
186,Speech Recognition,7,139.61661,201.01492
187,Fluid Mechanics,4,184.34505,196.0995
188,Computer Graphics,7,133.86581,196.0995
189,Filtration Membrane,4,218.21086,202.24377
190,Clinical Infectious Disease,3,337.0607,140.801
191,Prosthetic Dentistry,12,371.5655,223.13432
192,Orthodontics,12,367.73163,215.7612
193,Robotic Systems,7,144.08946,191.18408
194,Dental Research,12,369.64856,221.90547
195,Atomic Spectrometry,5,274.4409,229.27861
196,Botany,1,275.07986,80.58707
197,Public Health Service,12,371.5655,260
198,Political Geography,13,487.22046,124.825874
199,Catalysis,5,223.96165,232.96518
200,Radiation Protection,3,376.03833,111.30846
201,Machine Tools,4,178.59425,221.90547
202,Veterinary Medicine,10,307.02875,117.452736
203,Periodontology,12,366.45367,218.2189
204,Birth Defects,3,358.14697,172.75125
205,Thrombosis,3,358.14697,176.4378
206,Freshwater Biology,1,260.3834,53.55224
207,Mental Health Nursing,12,416.2939,235.42288
208,Artificial Evolution,7,124.28115,181.35324
209,English Literature,9,486.00742,40.889866
210,Plastic Surgery,12,371.5655,187.49751
211,Nursing Administration,12,407.34824,251.39801
212,Higher Education,13,486.58148,155.54726
213,Ecology,1,271.246,58.467663
214,Modern Language,9,480.7256,35.306896
